,draft_year,pick_no,team,player_name
182,2015,3,Arizona Coyotes,Dylan Strome
183,2015,4,Toronto Maple Leafs,Mitchell Marner
184,2015,5,Carolina Hurricanes,Noah Hanifin
185,2015,6,New Jersey Devils,Pavel Zacha
186,2015,7,Philadelphia Flyers,Ivan Provorov
187,2015,8,Columbus Blue Jackets,Zach Werenski
188,2015,9,San Jose Sharks,Timo Meier
189,2015,10,Colorado Avalanche,Mikko Rantanen
190,2015,11,Florida Panthers,Lawson Crouse
191,2015,12,Dallas Stars,Denis Gurianov
192,2015,13,Boston Bruins,Jakub Zboril
193,2015,14,Boston Bruins,Jake Debrusk
194,2015,15,Boston Bruins,Zach Senyshyn
195,2015,16,New York Islanders,Mathew Barzal
196,2015,17,Winnipeg Jets,Kyle Connor
197,2015,18,Ottawa Senators,Thomas Chabot
198,2015,19,Detroit Red Wings,Evgeny Svechnikov
199,2015,20,Minnesota Wild,Joel Eriksson Ek
200,2015,21,Ottawa Senators,Colin White
201,2015,22,Washington Capitals,Ilya Samsonov
202,2015,23,Vancouver Canucks,Brock Boeser
203,2015,24,Philadelphia Flyers,Travis Konecny
204,2015,25,Winnipeg Jets,Jack Roslovic
205,2015,26,Montréal Canadiens,Noah Juulsen
206,2015,27,Anaheim Ducks,Jacob Larsson
207,2015,28,New York Islanders,Anthony Beauvillier
208,2015,29,Columbus Blue Jackets,Gabriel Carlsson
209,2015,30,Arizona Coyotes,Nick Merkley
210,2016,1,Toronto Maple Leafs,Auston Matthews
211,2016,2,Winnipeg Jets,Patrik Laine
212,2016,3,Columbus Blue Jackets,Pierre-Luc Dubois
213,2016,4,Edmonton Oilers,Jesse Puljujarvi
214,2016,5,Vancouver Canucks,Olli Juolevi
215,2016,6,Calgary Flames,Matthew Tkachuk
216,2016,7,Arizona Coyotes,Clayton Keller
217,2016,8,Buffalo Sabres,Alex Nylander
218,2016,9,Montréal Canadiens,Mikhail Sergachev
219,2016,10,Colorado Avalanche,Tyson Jost
220,2016,11,Ottawa Senators,Logan Brown
221,2016,12,New Jersey Devils,Michael Mcleod
222,2016,13,Carolina Hurricanes,Jake Bean
223,2016,14,Boston Bruins,Charlie Mcavoy
224,2016,15,Minnesota Wild,Luke Kunin
225,2016,16,Arizona Coyotes,Jakob Chychrun
226,2016,17,Nashville Predators,Dante Fabbro
227,2016,18,Winnipeg Jets,Logan Stanley
228,2016,19,New York Islanders,Kieffer Bellows
229,2016,20,Detroit Red Wings,Dennis Cholowski
230,2016,21,Carolina Hurricanes,Julien Gauthier
231,2016,22,Philadelphia Flyers,German Rubtsov
232,2016,23,Florida Panthers,Henrik Borgstrom
233,2016,24,Anaheim Ducks,Max Jones
234,2016,25,Dallas Stars,Riley Tufte
235,2016,26,St. Louis Blues,Tage Thompson
236,2016,27,Tampa Bay Lightning,Brett Howden
237,2016,28,Washington Capitals,Lucas Johansen
238,2016,29,Boston Bruins,Trent Frederic
239,2016,30,Anaheim Ducks,Sam Steel
240,2017,1,New Jersey Devils,Nico Hischier
241,2017,2,Philadelphia Flyers,Nolan Patrick
242,2017,3,Dallas Stars,Miro Heiskanen
243,2017,4,Colorado Avalanche,Cale Makar
244,2017,5,Vancouver Canucks,Elias Pettersson
245,2017,6,Vegas Golden Knights,Cody Glass
246,2017,7,New York Rangers,Lias Andersson
247,2017,8,Buffalo Sabres,Casey Mittelstadt
248,2017,9,Detroit Red Wings,Michael Rasmussen
249,2017,10,Florida Panthers,Owen Tippett
250,2017,11,Los Angeles Kings,Gabriel Vilardi
251,2017,12,Carolina Hurricanes,Martin Necas
252,2017,13,Vegas Golden Knights,Nick Suzuki
253,2017,14,Tampa Bay Lightning,Cal Foote
254,2017,15,Vegas Golden Knights,Erik Brannstrom
255,2017,16,Calgary Flames,Juuso Valimaki
256,2017,17,Toronto Maple Leafs,Timothy Liljegren
257,2017,18,Boston Bruins,Urho Vaakanainen
258,2017,19,San Jose Sharks,Josh Norris
259,2017,20,St. Louis Blues,Robert Thomas
260,2017,21,New York Rangers,Filip Chytil
261,2017,22,Edmonton Oilers,Kailer Yamamoto
262,2017,23,Arizona Coyotes,Pierre-Olivier Joseph
263,2017,24,Winnipeg Jets,Kristian Vesalainen
264,2017,25,Montréal Canadiens,Ryan Poehling
265,2017,26,Dallas Stars,Jake Oettinger
266,2017,27,Philadelphia Flyers,Morgan Frost
267,2017,28,Ottawa Senators,Shane Bowers
268,2017,29,Chicago Blackhawks,Henri Jokiharju
269,2017,30,Nashville Predators,Eeli Tolvanen
270,2017,31,St. Louis Blues,Klim Kostin
271,2018,1,Buffalo Sabres,Rasmus Dahlin
272,2018,2,Carolina Hurricanes,Andrei Svechnikov
273,2018,3,Montréal Canadiens,Jesperi Kotkaniemi
274,2018,4,Ottawa Senators,Brady Tkachuk
275,2018,5,Arizona Coyotes,Barrett Hayton
276,2018,6,Detroit Red Wings,Filip Zadina
277,2018,7,Vancouver Canucks,Quinn Hughes
278,2018,8,Chicago Blackhawks,Adam Boqvist
279,2018,9,New York Rangers,Vitali Kravtsov
280,2018,10,Edmonton Oilers,Evan Bouchard
281,2018,11,New York Islanders,Oliver Wahlstrom
282,2018,12,New York Islanders,Noah Dobson
283,2018,13,Dallas Stars,Ty Dellandrea
284,2018,14,Philadelphia Flyers,Joel Farabee
285,2018,15,Florida Panthers,Grigori Denisenko
286,2018,16,Colorado Avalanche,Martin Kaut
287,2018,17,New Jersey Devils,Ty Smith
